station_id,station_name_from_path,source_file,observed_hours,valid_ghi_hours,calendar_coverage_pct,ghi_uptime_pct,ghi_valid_when_observed_pct,station_latitude,station_longitude
00554,sutton-bonington,nottinghamshire\00554_sutton-bonington\qc-version-1\midas-open_uk-radiation-obs_dv-202607_nottinghamshire_00554_sutton-bonington_qcv-1_2024.csv,8761,8761,99.73816029143897,99.73816029143897,100.0,52.836,-1.251
00315,boulmer,northumberland\00315_boulmer\qc-version-1\midas-open_uk-radiation-obs_dv-202607_northumberland_00315_boulmer_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,55.421,-1.601
17314,leeming,north-yorkshire\17314_leeming\qc-version-1\midas-open_uk-radiation-obs_dv-202607_north-yorkshire_17314_leeming_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,54.297,-1.533
61986,tibenham-airfield,norfolk\61986_tibenham-airfield\qc-version-1\midas-open_uk-radiation-obs_dv-202607_norfolk_61986_tibenham-airfield_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,52.457,1.162
00132,kinloss,moray-in-grampian-region\00132_kinloss\qc-version-1\midas-open_uk-radiation-obs_dv-202607_moray-in-grampian-region_00132_kinloss_qcv-1_2024.csv,8715,8715,99.21448087431693,99.21448087431693,100.0,57.645,-3.563
56963,magilligan-no-2,londonderry\56963_magilligan-no-2\qc-version-1\midas-open_uk-radiation-obs_dv-202607_londonderry_56963_magilligan-no-2_qcv-1_2024.csv,8726,8726,99.33970856102003,99.33970856102003,100.0,55.16,-6.949
00395,holbeach-no-2,lincolnshire\00395_holbeach-no-2\qc-version-1\midas-open_uk-radiation-obs_dv-202607_lincolnshire_00395_holbeach-no-2_qcv-1_2024.csv,8738,8738,99.47632058287796,99.47632058287796,100.0,52.873,0.139
00384,waddington,lincolnshire\00384_waddington\qc-version-1\midas-open_uk-radiation-obs_dv-202607_lincolnshire_00384_waddington_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,53.175,-0.523
01035,threave,kirkcudbrightshire\01035_threave\qc-version-1\midas-open_uk-radiation-obs_dv-202607_kirkcudbrightshire_01035_threave_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,54.926,-3.95
01033,dundrennan,kirkcudbrightshire\01033_dundrennan\qc-version-1\midas-open_uk-radiation-obs_dv-202607_kirkcudbrightshire_01033_dundrennan_qcv-1_2024.csv,8783,8783,99.98861566484517,99.98861566484517,100.0,54.803,-4.008
00177,inverbervie-no-2,kincardineshire\00177_inverbervie-no-2\qc-version-1\midas-open_uk-radiation-obs_dv-202607_kincardineshire_00177_inverbervie-no-2_qcv-1_2024.csv,8759,8759,99.71539162112933,99.71539162112933,100.0,56.852,-2.266
00775,manston,kent\00775_manston\qc-version-1\midas-open_uk-radiation-obs_dv-202607_kent_00775_manston_qcv-1_2024.csv,8714,8714,99.20309653916212,99.20309653916212,100.0,51.347,1.335
00744,east-malling,kent\00744_east-malling\qc-version-1\midas-open_uk-radiation-obs_dv-202607_kent_00744_east-malling_qcv-1_2024.csv,7274,7274,82.80965391621129,82.80965391621129,100.0,51.288,0.448
