name,latitude,longitude,nearest_midas_name,nearest_midas_distance_km
Jersey Airport Automatic Weather Station,49.21,-2.19,hurn,176.54818880819917
Ronaldsway Automatic Weather Station,54.09,-4.63,dundrennan,89.15727549914301
Rosehearty Automatic Weather Station,57.7,-2.12,dyce,55.334883502649625
Cliff Farm Automatic Weather Station,56.76,-5.82,dunstaffnage,41.5757781487316
Abergwyngregyn Automatic Weather Station,53.24,-4.01,valley,35.07254713671117
Hillsborough Automatic Weather Station,54.45,-6.07,aldergrove,25.848648306631397
Ardtornish Automatic Weather Station,56.53,-5.77,dunstaffnage,22.13063287919633
