station_id,midas_name,midas_latitude,midas_longitude,reference_name,reference_latitude,reference_longitude,latitude_difference_deg,longitude_difference_deg,distance_km,large_discrepancy
00235,leuchars,56.377,-2.862,Leuchars Automatic Weather Station,56.38,-2.86,-0.0030000000000001137,-0.002000000000000224,0.35598822474721803,False
00723,kew-gardens,51.482,-0.294,Kew Gardens Automatic Weather Station,51.48,-0.29,0.0020000000000024443,-0.0040000000000000036,0.35561974415254144,False
00105,tulloch-bridge,56.867,-4.708,Tulloch Bridge Automatic Weather Station,56.87,-4.71,-0.0030000000000001137,0.0019999999999997797,0.35544073073792726,False
01285,liscombe,51.087,-3.609,Liscombe Automatic Weather Station,51.09,-3.61,-0.0030000000000001137,0.0009999999999998899,0.34120187226630083,False
00395,holbeach-no-2,52.873,0.139,Holbeach No 2 Automatic Weather Station,52.87,0.14,0.0030000000000001137,-0.0010000000000000009,0.34065217565269634,False
00326,durham,54.768,-1.586,Durham Automatic Weather Station,54.77,-1.59,-0.0020000000000024443,0.0040000000000000036,0.33993284838215443,False
00054,stornoway-airport,58.213,-6.319,Stornoway Airport Automatic Weather Station,58.21,-6.32,0.0030000000000001137,0.001000000000000334,0.33906908351184295,False
00023,kirkwall,58.953,-2.901,Kirkwall Automatic Weather Station,58.95,-2.9,0.0030000000000001137,-0.0009999999999998899,0.33885904582566484,False
19260,,55.928,-3.344,Edinburgh Gogarbank Automatic Weather Station,55.93,-3.34,-0.0020000000000024443,-0.0040000000000000036,0.33436419645793647,False
00471,rothamsted,51.807,-0.36,Rothamsted Automatic Weather Station,51.81,-0.36,-0.0030000000000001137,0.0,0.33396000000001264,False
00268,charterhall,55.709,-2.385,Charterhall Automatic Weather Station,55.71,-2.38,-0.0009999999999976694,-0.004999999999999893,0.3327590014918772,False
00177,inverbervie-no-2,56.852,-2.266,Inverbervie No2 Automatic Weather Station,56.85,-2.27,0.001999999999995339,0.0040000000000000036,0.3299263839695381,False
57063,thomastown,54.33,-7.595,Thomastown Automatic Weather Station,54.33,-7.59,0.0,-0.004999999999999893,0.32456232410246627,False
01415,cardinham-bodmin,50.502,-4.667,Cardinham Bodmin Automatic Weather Station,50.5,-4.67,0.0020000000000024443,0.0030000000000001137,0.3077157678092756,False
01352,north-wyke,50.769,-3.904,North Wyke Automatic Weather Station,50.77,-3.9,-0.0010000000000047748,-0.0040000000000000036,0.3028202255469858,False
00842,hurn,50.779,-1.836,Hurn Automatic Weather Station,50.78,-1.84,-0.0009999999999976694,0.0040000000000000036,0.3027642385020201,False
00456,monks-wood,52.402,-0.237,Monks Wood Automatic Weather Station,52.4,-0.24,0.0020000000000024443,0.0030000000000000027,0.30180226233974616,False
00719,wisley,51.311,-0.476,Wisley Automatic Weather Station,51.31,-0.48,0.0009999999999976694,0.0040000000000000036,0.29977664540329146,False
00009,lerwick,60.139,-1.185,Lerwick Automatic Weather Station,60.14,-1.18,-0.0009999999999976694,-0.0050000000000001155,0.2986520621461574,False
01023,eskdalemuir,55.312,-3.207,Eskdalemuir Automatic Weather Station,55.31,-3.21,0.001999999999995339,0.0030000000000001137,0.292730292084677,False
01467,ballypatrick-forest,55.181,-6.154,Ballypatrick Forest Automatic Weather Station,55.18,-6.15,0.0009999999999976694,-0.0039999999999995595,0.27755086044778354,False
01395,camborne,50.218,-5.328,Camborne Automatic Weather Station,50.22,-5.33,-0.001999999999995339,0.0019999999999997797,0.2643170459558074,False
00744,east-malling,51.288,0.448,East Malling Automatic Weather Station,51.29,0.45,-0.0020000000000024443,-0.0020000000000000018,0.26259562495624195,False
00583,wittering,52.612,-0.468,Wittering Automatic Weather Station,52.61,-0.47,0.0020000000000024443,0.0019999999999999463,0.26047008516141845,False
00044,altnaharra-no-2,58.288,-4.442,Altnaharra No 2 Automatic Weather Station,58.29,-4.44,-0.0020000000000024443,-0.0019999999999997797,0.25152484844525136,False
00708,heathrow,51.479,-0.453,Heathrow Automatic Weather Station,51.48,-0.45,-0.0009999999999976694,-0.0030000000000000027,0.2359074007945829,False
00692,little-rissington,51.861,-1.693,Little Rissington Automatic Weather Station,51.86,-1.69,0.0009999999999976694,-0.0030000000000001137,0.23436891248348096,False
55827,braemar-no-2,57.011,-3.397,Braemar No 2 Automatic Weather Station,57.01,-3.4,0.0010000000000047748,0.0030000000000001137,0.2132034267040986,False
00079,tain-range,57.819,-3.967,Tain Range Automatic Weather Station,57.82,-3.97,-0.0009999999999976694,0.0030000000000001137,0.20982928320558422,False
57199,rostherne-no-2,53.36,-2.382,Rostherne No 2 Automatic Weather Station,53.36,-2.38,0.0,-0.002000000000000224,0.1328682573628514,False
62122,almondsbury,51.551,-2.559,Almondsbury Automatic Weather Station,51.55,-2.56,0.0010000000000047748,0.0009999999999998899,0.13108644211896414,False
00595,church-lawford,52.359,-1.331,Church Lawford Automatic Weather Station,52.36,-1.33,-0.0009999999999976694,-0.0009999999999998899,0.1304378340330465,False
01161,aberdaron,52.789,-4.741,Aberdaron Automatic Weather Station,52.79,-4.74,-0.0009999999999976694,-0.0009999999999994458,0.13009326979880007,False
00534,bramham,53.869,-1.319,Bramham Automatic Weather Station,53.87,-1.32,-0.0009999999999976694,0.001000000000000112,0.12923037051828798,False
00315,boulmer,55.421,-1.601,Boulmer Automatic Weather Station,55.42,-1.6,0.0009999999999976694,-0.0009999999999998899,0.12799882901951662,False
00048,kinbrace-hatchery,58.23,-3.922,"Kinbrace, Hatchery Automatic Weather Station",58.23,-3.92,0.0,-0.002000000000000224,0.11722234681427335,False
01198,aberporth,52.14,-4.571,Aberporth Automatic Weather Station,52.14,-4.57,0.0,-0.0009999999999994458,0.0683208873403695,False
19187,coleshill,52.48,-1.691,Coleshill Automatic Weather Station,52.48,-1.69,0.0,-0.001000000000000112,0.06779814628041157,False
56963,magilligan-no-2,55.16,-6.949,Magilligan No 2 Automatic Weather Station,55.16,-6.95,0.0,0.001000000000000334,0.06359563531627213,False
18974,tiree,56.5,-6.881,Tiree Automatic Weather Station,56.5,-6.88,0.0,-0.001000000000000334,0.06144162520495883,False
00918,dunstaffnage,56.45,-5.44,Dunstaffnage Automatic Weather Station,56.45,-5.44,0.0,0.0,0.0,False
