station_id,midas_name,midas_latitude,midas_longitude,reference_name,reference_latitude,reference_longitude,distance_km
00811,herstmonceux-west-end,50.891,0.317,East Malling Automatic Weather Station,51.29,0.45,45.37148997365053
00671,ross-on-wye,51.911,-2.586,Almondsbury Automatic Weather Station,51.55,-2.56,40.22680194643919
62208,exeter-surfacenet-enclosure-aws,50.729,-3.475,Exeter Airport No 2 Automatic Weather Station,50.74,-3.41,4.740007511422228
